Entity	QRank	instrument	instrumentLabel	inceptDate
Q313897	12645	http://www.wikidata.org/entity/Q313897	Freedom Bell	1950.0
Q5289657	12372	http://www.wikidata.org/entity/Q5289657	Dolphin Stradivarius	1714.0
Q17124574	11716	http://www.wikidata.org/entity/Q17124574	Octavia	1967.0
Q4228248	11670	http://www.wikidata.org/entity/Q4228248	Bell of Good Luck	2000.0
Q2309202	11535	http://www.wikidata.org/entity/Q2309202	Moscow Kremlin	1906.0
Q1860793	10651	http://www.wikidata.org/entity/Q1860793	Scream Tracker	1990.0
Q5018088	9867	http://www.wikidata.org/entity/Q5018088	Cakewalk	1987.0
Q896244	9608	http://www.wikidata.org/entity/Q896244	Carillon in Berlin-Tiergarten	1987.0
Q3574205	9498	http://www.wikidata.org/entity/Q3574205	string tambourine	15.0
Q9369297	9181	http://www.wikidata.org/entity/Q9369297	MilkyTracker	2005.0
Q6556459	9159	http://www.wikidata.org/entity/Q6556459	Lipinski Stradivarius	1715.0
Q6720285	8864	http://www.wikidata.org/entity/Q6720285	MXR Phase 90	1972.0
Q7975291	8767	http://www.wikidata.org/entity/Q7975291	Wave Organ	1986.0
Q2592009	8096	http://www.wikidata.org/entity/Q2592009	Bridge of Nations Bell	1458.0
Q7817895	8028	http://www.wikidata.org/entity/Q7817895	Tom Tyler Stradivarius	1732.0
Q10861611	8017	http://www.wikidata.org/entity/Q10861611	Q10861611	1549.0
Q2030117	7236	http://www.wikidata.org/entity/Q2030117	Q2030117	1931.0
Q4745886	7223	http://www.wikidata.org/entity/Q4745886	Ames Stradivarius	1734.0
Q6896255	7195	http://www.wikidata.org/entity/Q6896255	Molitor Stradivarius	1697.0
Q878694	6663	http://www.wikidata.org/entity/Q878694	Schnitger organ of St. Jacobi Hamburg	1693.0
Q3605859	6639	http://www.wikidata.org/entity/Q3605859	Adungu	1850.0
Q316302	6539	http://www.wikidata.org/entity/Q316302	Organ of the Basilica of St. Martin	1750.0
Q7580302	6069	http://www.wikidata.org/entity/Q7580302	Spreckels Organ Pavilion	1914.0
Q3560514	5777	http://www.wikidata.org/entity/Q3560514	Viotti Stradivarius	1709.0
Q7333328	5711	http://www.wikidata.org/entity/Q7333328	Riga Cathedral pipe organ	1883.0
Q12950484	5626	http://www.wikidata.org/entity/Q12950484	Hellier Stradivarius	1679.0
Q4708367	5559	http://www.wikidata.org/entity/Q4708367	Alard–Baron Knoop Stradivarius	1715.0
Q4088429	5472	http://www.wikidata.org/entity/Q4088429	Blackpool High Tide Organ	2002.0
Q6679199	5459	http://www.wikidata.org/entity/Q6679199	Lord Dunn–Raven Stradivarius	1710.0
Q693885	4432	http://www.wikidata.org/entity/Q693885	Pipe organ of Basilique Notre-Dame de Valère	1435.0
Q1877184	4274	http://www.wikidata.org/entity/Q1877184	Lullusglocke	1038.0
Q5443265	3755	http://www.wikidata.org/entity/Q5443265	Fender Reverb Unit	1961.0
Q52161922	3738	http://www.wikidata.org/entity/Q52161922	Q52161922	1740.0
Q6963981	3699	http://www.wikidata.org/entity/Q6963981	Nano guitar	1997.0
Q1877645	3667	http://www.wikidata.org/entity/Q1877645	The Brudevælte Lurs	-749.0
Q4898662	3629	http://www.wikidata.org/entity/Q4898662	Betts Stradivarius	1704.0
Q3199759	3531	http://www.wikidata.org/entity/Q3199759	KRISTAL Audio Engine	2004.0
Q1124130	3433	http://www.wikidata.org/entity/Q1124130	Concordia 2000	2003.0
Q13537119	3418	http://www.wikidata.org/entity/Q13537119	Great organ of Nancy Cathedral	1756.0
Q72569198	3159	http://www.wikidata.org/entity/Q72569198	Le Brun Stradivarius	1712.0
Q15853233	3093	http://www.wikidata.org/entity/Q15853233	Vox Maris	2012.0
Q20745551	3075	http://www.wikidata.org/entity/Q20745551	Hammer Stradivarius	1707.0
Q30644776	2984	http://www.wikidata.org/entity/Q30644776	Audio-Technica AT-LP120	2009.0
Q2030289	2894	http://www.wikidata.org/entity/Q2030289	Great organ of St.-Marien-Kirche	1659.0
Q6482207	2877	http://www.wikidata.org/entity/Q6482207	Lamont Harp	1500.0
Q6436635	2824	http://www.wikidata.org/entity/Q6436635	Kreisler Bergonzi	1735.0
Q2030305	2788	http://www.wikidata.org/entity/Q2030305	Q2030305	1862.0
Q118218490	2740	http://www.wikidata.org/entity/Q118218490	Bell #9801	2022.0
Q3962016	2731	http://www.wikidata.org/entity/Q3962016	Air raid siren of Teramo	1937.0
Q6432219	2465	http://www.wikidata.org/entity/Q6432219	Electribe R	1999.0
Q6773955	2421	http://www.wikidata.org/entity/Q6773955	Marsick Stradivarius	1715.0
Q4468408	2356	http://www.wikidata.org/entity/Q4468408	main organ Laurenskerk Rotterdam	1973.0
Q3209896	2328	http://www.wikidata.org/entity/Q3209896	The tympanum player	1784.0
Q2030298	2294	http://www.wikidata.org/entity/Q2030298	Pipe organ of St. Kilian's Cathedral	1969.0
Q19881125	2142	http://www.wikidata.org/entity/Q19881125	Justice Bell	1915.0
Q2030148	2108	http://www.wikidata.org/entity/Q2030148	Pipe organ of Stadtkirche Waltershausen	1724.0
Q2030091	2090	http://www.wikidata.org/entity/Q2030091	Organ of Alte Kirche St. Salvator	1711.0
Q4943890	1976	http://www.wikidata.org/entity/Q4943890	Booth Stradivarius	1716.0
Q1022536	1956	http://www.wikidata.org/entity/Q1022536	pipe organ in St Jakobi church (Stralsund)	1741.0
Q2030170	1911	http://www.wikidata.org/entity/Q2030170	Schnitger organ in St. Cosmae	1673.0
Q6680037	1895	http://www.wikidata.org/entity/Q6680037	Lord Wilton	1742.0
Q2030132	1877	http://www.wikidata.org/entity/Q2030132	Amalienorgel	1755.0
Q118966767	1876	http://www.wikidata.org/entity/Q118966767	Korg Nautilus	2021.0
Q113579615	1858	http://www.wikidata.org/entity/Q113579615	Gänsegeierflöte vom Hohlefels	-33000.0
Q111382378	1750	http://www.wikidata.org/entity/Q111382378	Olympic Bell	1935.0
Q4905904	1746	http://www.wikidata.org/entity/Q4905904	Big Joe	1895.0
Q1798888	1729	http://www.wikidata.org/entity/Q1798888	La Leona	1856.0
Q111836422	1711	http://www.wikidata.org/entity/Q111836422	Da Vinci, ex-Seidel Stradivarius	1714.0
Q80331	1687	http://www.wikidata.org/entity/Q80331	Organ saint-John's Cathedral	1618.0
Q14551935	1686	http://www.wikidata.org/entity/Q14551935	Organs of St. Paul's Cathedral (Münster)	1956.0
Q6405648	1684	http://www.wikidata.org/entity/Q6405648	Kiesewetter Stradivarius	1723.0
Q6470573	1647	http://www.wikidata.org/entity/Q6470573	Lady Tennant Stradivarius	1709.0
Q6464644	1574	http://www.wikidata.org/entity/Q6464644	La Pucelle	1709.0
Q20826846	1510	http://www.wikidata.org/entity/Q20826846	Q20826846	1913.0
Q25092689	1507	http://www.wikidata.org/entity/Q25092689	Q25092689	1978.0
Q6314647	1487	http://www.wikidata.org/entity/Q6314647	Jupiter Stradivarius	1700.0
Q25103830	1447	http://www.wikidata.org/entity/Q25103830	Vocaloid Keyboard	2015.0
Q16634910	1338	http://www.wikidata.org/entity/Q16634910	Vyrkovo toys	2000.0
Q8035249	1293	http://www.wikidata.org/entity/Q8035249	World's Largest Tuned Musical Windchime	2004.0
Q3356232	1286	http://www.wikidata.org/entity/Q3356232	Gaumont Palace organ	1931.0
Q1545969	1277	http://www.wikidata.org/entity/Q1545969	Q1545969	1561.0
Q116908315	1240	http://www.wikidata.org/entity/Q116908315	Bell of the Sun	1966.0
Q43376787	1235	http://www.wikidata.org/entity/Q43376787	Rafter finial in the shape of a dragon’s head and wind chime	950.0
Q2030153	1233	http://www.wikidata.org/entity/Q2030153	Q2030153	1877.0
Q2799501	1218	http://www.wikidata.org/entity/Q2799501	Saufang (bell)	700.0
Q2363704	1211	http://www.wikidata.org/entity/Q2363704	De Arabier	1925.0
Q1486846	1194	http://www.wikidata.org/entity/Q1486846	Yamaha GS1	1980.0
Q111773533	1181	http://www.wikidata.org/entity/Q111773533	Duke of Alcantara Stradivarius	1732.0
Q2030180	1170	http://www.wikidata.org/entity/Q2030180	Arp Schnitger organ in St. Pankratius church in Hamburg-Neuenfelde	1688.0
Q2687075	1158	http://www.wikidata.org/entity/Q2687075	Organ of Grote of Jacobijnerkerk	1727.0
Q13469683	1102	http://www.wikidata.org/entity/Q13469683	The Great Organ	1781.0
Q1456745	1057	http://www.wikidata.org/entity/Q1456745	Friedensglocke	1952.0
Q6305839	1007	http://www.wikidata.org/entity/Q6305839	Jules Falk Stradivarius	1723.0
Q2684324	972	http://www.wikidata.org/entity/Q2684324	Q2684324	1891.0
Q2540919	955	http://www.wikidata.org/entity/Q2540919	Walbecker Glocke	1100.0
Q6134447	955	http://www.wikidata.org/entity/Q6134447	Sarasate	1724.0
Q1414925	947	http://www.wikidata.org/entity/Q1414925	Bell of Love	2006.0
Q20857963	944	http://www.wikidata.org/entity/Q20857963	Greffuhle Stradivarius	1709.0
Q1585092	910	http://www.wikidata.org/entity/Q1585092	Harder-Völkmann-Orgel	2006.0
Q56292856	898	http://www.wikidata.org/entity/Q56292856	Organ in St. Jacobikirche Lüdingworth	1683.0
Q31842662	875	http://www.wikidata.org/entity/Q31842662	Q31842662	1734.0
Q16855451	872	http://www.wikidata.org/entity/Q16855451	Pipe organ of Klosterkirche Mariä Himmelfahrt	1736.0
Q2030146	862	http://www.wikidata.org/entity/Q2030146	Q2030146	1841.0
Q2030128	854	http://www.wikidata.org/entity/Q2030128	Q2030128	1925.0
Q104177080	816	http://www.wikidata.org/entity/Q104177080	Q104177080	1915.0
Q15794023	787	http://www.wikidata.org/entity/Q15794023	Q15794023	1964.0
Q3908289	781	http://www.wikidata.org/entity/Q3908289	"pontifical organ ""Dom Bedos-Roubo - Benedict XVI"""	2009.0
Q18202733	756	http://www.wikidata.org/entity/Q18202733	pipe organ in Santissima Annunziata church in Siena	1518.0
Q2030139	748	http://www.wikidata.org/entity/Q2030139	Herbst-Orgel, Lahm/Itzgrund 1732	1732.0
Q21234636	731	http://www.wikidata.org/entity/Q21234636	Pipe organ	1877.0
Q2316165	722	http://www.wikidata.org/entity/Q2316165	Sint-Josephkerk	1901.0
Q15837705	703	http://www.wikidata.org/entity/Q15837705	Organ in the Jacobikerk at Uithuizen	1701.0
Q6937012	698	http://www.wikidata.org/entity/Q6937012	Muntz Stradivarius	1736.0
Q4801397	697	http://www.wikidata.org/entity/Q4801397	Artot–Alard Stradivarius	1728.0
Q6314556	695	http://www.wikidata.org/entity/Q6314556	Jupiter, ex-Goding Stradivarius	1722.0
Q6502053	689	http://www.wikidata.org/entity/Q6502053	Lauterbach Stradivarius	1719.0
Q15790997	678	http://www.wikidata.org/entity/Q15790997	Kaunas Carillon	1937.0
Q42329674	662	http://www.wikidata.org/entity/Q42329674	Q42329674	1937.0
Q1355624	661	http://www.wikidata.org/entity/Q1355624	Organ in St. Cyprian-and Cornelius church	1699.0
Q22249014	625	http://www.wikidata.org/entity/Q22249014	Q22249014	1714.0
Q11977796	615	http://www.wikidata.org/entity/Q11977796	Q11977796	1651.0
Q3499955	611	http://www.wikidata.org/entity/Q3499955	Jean-Marie Leclair Stradivarius	1721.0
Q16798813	601	http://www.wikidata.org/entity/Q16798813	Markees Stradivarius	1701.0
Q64847413	594	http://www.wikidata.org/entity/Q64847413	ipe organ of Candé castle	1929.0
Q4862553	579	http://www.wikidata.org/entity/Q4862553	Baron Knoop Stradivarius	1698.0
Q117319168	576	http://www.wikidata.org/entity/Q117319168	Gustav Mahler	1672.0
Q43264967	551	http://www.wikidata.org/entity/Q43264967	olifant of the Chartreuse de Portes	1100.0
Q17537351	533	http://www.wikidata.org/entity/Q17537351	Church of St George	1450.0
Q56290379	532	http://www.wikidata.org/entity/Q56290379	Oberheim Prommer	1983.0
Q29122822	531	http://www.wikidata.org/entity/Q29122822	Organ Clicquot of the Priory church in Souvigny	1782.0
Q28974462	507	http://www.wikidata.org/entity/Q28974462	Peter Gerritsz-orgel	1479.0
Q5202318	502	http://www.wikidata.org/entity/Q5202318	Cádiz Stradivarius	1722.0
Q2483632	497	http://www.wikidata.org/entity/Q2483632	organ Grote Kerk Nijkerk	1756.0
Q3885710	484	http://www.wikidata.org/entity/Q3885710	Q3885710	1565.0
Q2383533	483	http://www.wikidata.org/entity/Q2383533	Vrijheidscarillon	1952.0
Q7564766	466	http://www.wikidata.org/entity/Q7564766	Sound of Harmony	2008.0
Q18271080	453	http://www.wikidata.org/entity/Q18271080	Q18271080	1583.0
Q7558540	437	http://www.wikidata.org/entity/Q7558540	Solomon, ex-Lambert Stradivarius	1729.0
Q22570045	437	http://www.wikidata.org/entity/Q22570045	Picture clock with Alster panorama	1830.0
Q109311276	419	http://www.wikidata.org/entity/Q109311276	Renaissance pipe organs from Garrovillas	1578.0
Q23978726	418	http://www.wikidata.org/entity/Q23978726	Q23978726	1936.0
Q6049877	415	http://www.wikidata.org/entity/Q6049877	Olifante of Saint-Arnoul de Metz	1200.0
Q3356209	410	http://www.wikidata.org/entity/Q3356209	Pipe organ of Cathédrale Saint-Pons de Saint-Pons-de-Thomières	1772.0
Q110978667	405	http://www.wikidata.org/entity/Q110978667	Izturitze Flute	-35000.0
Q42532434	404	http://www.wikidata.org/entity/Q42532434	Q42532434	1939.0
Q1579753	403	http://www.wikidata.org/entity/Q1579753	Organ of Marienkirche Barth	1821.0
Q15837708	400	http://www.wikidata.org/entity/Q15837708	Schnitger organ in St. Pankratius	1708.0
Q16177101	398	http://www.wikidata.org/entity/Q16177101	Yonboksa Bell	1346.0
Q19297672	398	http://www.wikidata.org/entity/Q19297672	Q19297672	1716.0
Q16585145	391	http://www.wikidata.org/entity/Q16585145	Q16585145	1725.0
Q94251286	390	http://www.wikidata.org/entity/Q94251286	Bumerin	1723.0
Q3356212	372	http://www.wikidata.org/entity/Q3356212	pipe organ of Notre-Dame-de-l'Assomption church in Lambesc	1789.0
Q29385577	362	http://www.wikidata.org/entity/Q29385577	Rectangular Octave Virginal	1600.0
Q10659430	358	http://www.wikidata.org/entity/Q10659430	Sankt Petri kyrkas orgel by Hans Brebus	1571.0
Q3356214	355	http://www.wikidata.org/entity/Q3356214	pipe organ in St Jean collegiate church in Pézenas	1759.0
Q2030094	352	http://www.wikidata.org/entity/Q2030094	Q2030094	1950.0
Q73178883	348	http://www.wikidata.org/entity/Q73178883	La Cathedrale (Stradivarius violin)	1707.0
Q1419077	345	http://www.wikidata.org/entity/Q1419077	Q1419077	1908.0
Q25223134	337	http://www.wikidata.org/entity/Q25223134	Casavant Frères Ltée. Opus 1841	1911.0
Q2408013	330	http://www.wikidata.org/entity/Q2408013	Pipe organ of collegiate church Saint-Jean-Baptiste in Roquemaure	1690.0
Q105955165	321	http://www.wikidata.org/entity/Q105955165	Boss DS-2	1987.0
Q3885633	312	http://www.wikidata.org/entity/Q3885633	Roskilde Cathedral organ	1554.0
Q1014762	309	http://www.wikidata.org/entity/Q1014762	Burgahnl	1568.0
Q2030116	307	http://www.wikidata.org/entity/Q2030116	Pipe organs in Worfelden	1624.0
Q2030150	307	http://www.wikidata.org/entity/Q2030150	Pipe organ of Westerhuser Kirche	1642.0
Q16585142	307	http://www.wikidata.org/entity/Q16585142	Q16585142	1660.0
Q19947560	303	http://www.wikidata.org/entity/Q19947560	Harpsichord	1670.0
Q28668591	303	http://www.wikidata.org/entity/Q28668591	Q28668591	2007.0
Q19297675	302	http://www.wikidata.org/entity/Q19297675	Q19297675	1701.0
Q5379730	297	http://www.wikidata.org/entity/Q5379730	Q5379730	2003.0
Q2030172	292	http://www.wikidata.org/entity/Q2030172	Pipe organ of St. Kiliani	1710.0
Q29293778	291	http://www.wikidata.org/entity/Q29293778	Argoules Valloires abbey	1756.0
Q436599	284	http://www.wikidata.org/entity/Q436599	Q436599	1991.0
Q2030110	283	http://www.wikidata.org/entity/Q2030110	Organ of Evangelische Kirche	1790.0
Q3885709	282	http://www.wikidata.org/entity/Q3885709	Q3885709	1825.0
Q4862550	279	http://www.wikidata.org/entity/Q4862550	Baron Knoop, ex-Bevan Stradivarius	1715.0
Q9149057	278	http://www.wikidata.org/entity/Q9149057	Søndre Langåra tåkeklokke	1896.0
Q105955797	268	http://www.wikidata.org/entity/Q105955797	Boss OD-1	1977.0
Q6497717	258	http://www.wikidata.org/entity/Q6497717	Laub–Petschnikoff Stradivarius	1722.0
Q123741866	257	http://www.wikidata.org/entity/Q123741866	pipe organ in the Licheń Basilica	2007.0
Q13574179	252	http://www.wikidata.org/entity/Q13574179	Draaiorgel de Cello	1926.0
Q15837707	252	http://www.wikidata.org/entity/Q15837707	Q15837707	1698.0
Q18696962	246	http://www.wikidata.org/entity/Q18696962	Tympan de Cabestany	1200.0
Q12590190	235	http://www.wikidata.org/entity/Q12590190	Bell of Naesosa Temple, Buan	1222.0
Q111843897	232	http://www.wikidata.org/entity/Q111843897	Electro-Harmonix Memory Man	1976.0
Q5125907	230	http://www.wikidata.org/entity/Q5125907	Q5125907	1846.0
Q3113683	228	http://www.wikidata.org/entity/Q3113683	Pipe organ of Église Sainte-Marie-des-Batignolles	1923.0
Q7478005	225	http://www.wikidata.org/entity/Q7478005	Martenskerk, Scharnegoutum	1861.0
Q65212591	223	http://www.wikidata.org/entity/Q65212591	Òrgan gòtic de la Catedral de Palma de Mallorca	1790.0
Q3356207	221	http://www.wikidata.org/entity/Q3356207	Pipe organ of Collégiale Sainte-Marthe, Tarascon	1604.0
Q17590733	221	http://www.wikidata.org/entity/Q17590733	Schnitger organ in Martinikerk	1711.0
Q2030175	220	http://www.wikidata.org/entity/Q2030175	Q2030175	1847.0
Q117319274	218	http://www.wikidata.org/entity/Q117319274	Gibson	1734.0
Q48753561	212	http://www.wikidata.org/entity/Q48753561	EKI 1	1954.0
Q17590735	204	http://www.wikidata.org/entity/Q17590735	Schnitger organ in the Pelstergasthuiskerk (Groningen)	1693.0
Q56408767	203	http://www.wikidata.org/entity/Q56408767	Q56408767	1810.0
Q3356213	201	http://www.wikidata.org/entity/Q3356213	Pipe organ of Saint-Sauveur cathedral in Vabres-l'Abbaye	1761.0
Q15837704	201	http://www.wikidata.org/entity/Q15837704	Pipe organ of Dorfkirche Blankenhagen	1687.0
Q105978037	198	http://www.wikidata.org/entity/Q105978037	Boss MT-2	1991.0
Q4531363	196	http://www.wikidata.org/entity/Q4531363	Q4531363	2001.0
Q17637724	195	http://www.wikidata.org/entity/Q17637724	organ in the Our Savior church in Copenhagen	1698.0
Q2443027	194	http://www.wikidata.org/entity/Q2443027	Q2443027	1971.0
Q29293771	188	http://www.wikidata.org/entity/Q29293771	Saint-Riquier abbey church	1700.0
Q2030127	183	http://www.wikidata.org/entity/Q2030127	Q2030127	1792.0
Q117309823	178	http://www.wikidata.org/entity/Q117309823	Francesca	1694.0
Q17354147	177	http://www.wikidata.org/entity/Q17354147	Pipe organ in Simultankirche Bechtolsheim	1756.0
Q24934265	169	http://www.wikidata.org/entity/Q24934265	Q24934265	1678.0
Q22924160	168	http://www.wikidata.org/entity/Q22924160	Aeolian organ	1923.0
Q4461436	165	http://www.wikidata.org/entity/Q4461436	Kerk, Hichtum	1200.0
Q113535717	161	http://www.wikidata.org/entity/Q113535717	The Angel	1720.0
Q86676064	155	http://www.wikidata.org/entity/Q86676064	Q86676064	1970.0
Q9249049	154	http://www.wikidata.org/entity/Q9249049	Q9249049	1420.0
Q110515879	151	http://www.wikidata.org/entity/Q110515879	Q110515879	1800.0
Q16668295	149	http://www.wikidata.org/entity/Q16668295	Q16668295	1688.0
Q105956231	149	http://www.wikidata.org/entity/Q105956231	Boss SD-1	1981.0
Q18397201	143	http://www.wikidata.org/entity/Q18397201	Pipe organ of St. Trinitatis (Warlitz)	1770.0
Q110637312	143	http://www.wikidata.org/entity/Q110637312	"Olifant so-called ""horn of Roland"""	1050.0
Q123353273	138	http://www.wikidata.org/entity/Q123353273	Renaissance organ of the Cathedral of Évora	1562.0
Q117307521	131	http://www.wikidata.org/entity/Q117307521	Tua	1708.0
Q18026553	130	http://www.wikidata.org/entity/Q18026553	Eenum Church - Schnitger pipe organ	1704.0
Q18026555	126	http://www.wikidata.org/entity/Q18026555	Organ in Pancratiuskerk	1704.0
Q2014660	124	http://www.wikidata.org/entity/Q2014660	Q2014660	1842.0
Q3356228	123	http://www.wikidata.org/entity/Q3356228	Orgue de l'église Saint-Symphorien de Tours	1885.0
Q11113224	123	http://www.wikidata.org/entity/Q11113224	Q11113224	1911.0
Q117204411	120	http://www.wikidata.org/entity/Q117204411	pipe organ of St.Mary church in Berlin	1722.0
Q10861613	119	http://www.wikidata.org/entity/Q10861613	1322 bell in Dolní zvonice	1322.0
Q89408861	118	http://www.wikidata.org/entity/Q89408861	Q89408861	1490.0
Q18026558	117	http://www.wikidata.org/entity/Q18026558	Organ in Michaelkerk	1699.0
Q29374014	114	http://www.wikidata.org/entity/Q29374014	pipe organ (Tours St Gatien cathedral)	1620.0
Q105966752	113	http://www.wikidata.org/entity/Q105966752	BOSS BD-2 Blues driver	1995.0
Q2030098	111	http://www.wikidata.org/entity/Q2030098	Pipe Organ of Protestant Church	1732.0
Q17605963	110	http://www.wikidata.org/entity/Q17605963	Nederlands Hervormde Kerk	1969.0
Q20515889	108	http://www.wikidata.org/entity/Q20515889	Q20515889	1905.0
Q117321679	104	http://www.wikidata.org/entity/Q117321679	Kux	1720.0
Q2030104	103	http://www.wikidata.org/entity/Q2030104	Q2030104	1796.0
Q25402677	103	http://www.wikidata.org/entity/Q25402677	Q25402677	1697.0
Q28840501	100	http://www.wikidata.org/entity/Q28840501	Q28840501	1768.0
Q121007665	98	http://www.wikidata.org/entity/Q121007665	Bell of the Joy	1965.0
Q123461187	95	http://www.wikidata.org/entity/Q123461187	Q123461187	1509.0
Q2030115	94	http://www.wikidata.org/entity/Q2030115	Q2030115	1809.0
Q29225391	90	http://www.wikidata.org/entity/Q29225391	pipe organ in Carcassona	1637.0
Q45342716	87	http://www.wikidata.org/entity/Q45342716	Silbermann pipe organ of Église Saint-Thomas	1740.0
Q113536937	87	http://www.wikidata.org/entity/Q113536937	Strauss	1708.0
Q112961994	85	http://www.wikidata.org/entity/Q112961994	nave organ of the Cologne Cathedral (Klais 1998)	1998.0
Q1922551	84	http://www.wikidata.org/entity/Q1922551	Q1922551	1910.0
Q29339035	82	http://www.wikidata.org/entity/Q29339035	Q29339035	1800.0
Q112976141	80	http://www.wikidata.org/entity/Q112976141	Q112976141	2019.0
Q112996146	79	http://www.wikidata.org/entity/Q112996146	Zacharias Hildebrandt organ (Naumburg)	1746.0
Q54733243	78	http://www.wikidata.org/entity/Q54733243	Clappers-E 13920	-4000.0
Q29239215	77	http://www.wikidata.org/entity/Q29239215	Perpignan cathedral pipe organ	1858.0
Q29640019	76	http://www.wikidata.org/entity/Q29640019	Q29640019	1936.0
Q18286458	74	http://www.wikidata.org/entity/Q18286458	Q18286458	1526.0
Q113088038	73	http://www.wikidata.org/entity/Q113088038	Saint Michael organ of Freiburg Minster	2008.0
Q65209846	72	http://www.wikidata.org/entity/Q65209846	Orgue de la Basílica de la Mercè	2018.0
Q107612740	72	http://www.wikidata.org/entity/Q107612740	Oliphant (MIK K 3106)	1100.0
Q112978877	71	http://www.wikidata.org/entity/Q112978877	Q112978877	1965.0
Q25403224	70	http://www.wikidata.org/entity/Q25403224	Q25403224	1730.0
