Entity	QRank	museum	museumLabel	Rank_lat
Q637248	175960	http://www.wikidata.org/entity/Q637248	Naples National Archaeological Museum	40.853377777778
Q19877	175231	http://www.wikidata.org/entity/Q19877	Museo Egizio	45.068333333333
Q605185	173033	http://www.wikidata.org/entity/Q605185	Blue Grotto	40.56102
Q832278	172364	http://www.wikidata.org/entity/Q832278	Basilica of Sant'Apollinare Nuovo	44.416738
Q1547160	169654	http://www.wikidata.org/entity/Q1547160	Vittoriale degli italiani	45.62277
Q1473825	164112	http://www.wikidata.org/entity/Q1473825	Palazzo dei Normanni	38.111282
Q574740	163057	http://www.wikidata.org/entity/Q574740	Gardens of Bomarzo	42.491633333333
Q426339	144985	http://www.wikidata.org/entity/Q426339	Royal Palace of Naples	40.836136
Q1278477	143019	http://www.wikidata.org/entity/Q1278477	Baptistry San Giovanni	43.72327
Q747484	142404	http://www.wikidata.org/entity/Q747484	Ancient theatre of Taormina	37.8522
Q597957	135325	http://www.wikidata.org/entity/Q597957	Villa Farnese	42.328632
Q1145261	135193	http://www.wikidata.org/entity/Q1145261	Basilica of Superga	45.08062
Q671850	131671	http://www.wikidata.org/entity/Q671850	Pozzo di S. Patrizio	42.71647
Q289427	131621	http://www.wikidata.org/entity/Q289427	Mausoleum of Theodoric	44.424955
Q1996075	129795	http://www.wikidata.org/entity/Q1996075	Brancacci Chapel	43.7677682
Q902532	126057	http://www.wikidata.org/entity/Q902532	Olympic Theatre	45.55
Q290549	124106	http://www.wikidata.org/entity/Q290549	National Museum of Capodimonte	40.86699
Q338330	123625	http://www.wikidata.org/entity/Q338330	Gallerie dell'Accademia	45.431078
Q744552	121934	http://www.wikidata.org/entity/Q744552	Basilica of Sant'Apollinare in Classe	44.380117
Q3661293	118333	http://www.wikidata.org/entity/Q3661293	Juliet's House	45.441919
Q220583	118215	http://www.wikidata.org/entity/Q220583	Sybaris	39.716564
Q19824	117509	http://www.wikidata.org/entity/Q19824	Royal Palace of Turin	45.0727
Q1049033	116946	http://www.wikidata.org/entity/Q1049033	Peggy Guggenheim Collection	45.430821
Q388448	116243	http://www.wikidata.org/entity/Q388448	Bargello National Museum	43.770398
Q19838	115099	http://www.wikidata.org/entity/Q19838	Palace of Venaria	45.135834
Q1126723	114664	http://www.wikidata.org/entity/Q1126723	Villa Farnesina	41.893611111111
Q1881229	113516	http://www.wikidata.org/entity/Q1881229	MAXXI – National Museum of the 21st Century Arts	41.92807
Q13291063	112660	http://www.wikidata.org/entity/Q13291063	Torrechiara Castle	44.655052
Q913058	107961	http://www.wikidata.org/entity/Q913058	Vasari Corridor	43.768997
Q19834	101037	http://www.wikidata.org/entity/Q19834	Palazzina di caccia of Stupinigi	44.995
Q1031614	100595	http://www.wikidata.org/entity/Q1031614	Campo santo	43.724
Q820872	99017	http://www.wikidata.org/entity/Q820872	Ca' d'Oro	45.440555555556
Q949846	96660	http://www.wikidata.org/entity/Q949846	Giardino dei Tarocchi	42.425904
Q19874	92939	http://www.wikidata.org/entity/Q19874	The National Cinema Museum	45.069542
Q426164	90723	http://www.wikidata.org/entity/Q426164	Risiera di San Sabba	45.620833333333
Q284719	90139	http://www.wikidata.org/entity/Q284719	Basilica Palladiana	45.546944444444
Q2165460	87683	http://www.wikidata.org/entity/Q2165460	Villa Jovis	40.55823
Q19829	87348	http://www.wikidata.org/entity/Q19829	Palazzo Carignano	45.069008
Q1775907	85899	http://www.wikidata.org/entity/Q1775907	Rocchetta Mattei	44.2197
Q1203458	80242	http://www.wikidata.org/entity/Q1203458	Doria Pamphilj Gallery	41.897669
Q1048809	78730	http://www.wikidata.org/entity/Q1048809	Aragonese Castle	40.73162
Q1048836	76939	http://www.wikidata.org/entity/Q1048836	Castello Estense	44.837628
Q3662370	76795	http://www.wikidata.org/entity/Q3662370	Scaligero Castle	45.492311
Q1270723	75711	http://www.wikidata.org/entity/Q1270723	Scuola Grande di San Rocco	45.436571
Q51105	74640	http://www.wikidata.org/entity/Q51105	Royal Palace of Milan	45.463054
Q1635704	73572	http://www.wikidata.org/entity/Q1635704	Palazzo Ducale Mantua	45.159672
Q1971299	72922	http://www.wikidata.org/entity/Q1971299	Palazzo Colonna	41.89707
Q966625	71880	http://www.wikidata.org/entity/Q966625	St Mark's Clocktower	45.43404
Q18222399	70663	http://www.wikidata.org/entity/Q18222399	archaeological excavations of Pompeii	40.748375
Q1051820	70284	http://www.wikidata.org/entity/Q1051820	Certosa di Padula	40.33722222
Q2517428	70239	http://www.wikidata.org/entity/Q2517428	Palazzo della Ragione	45.407222222222
Q1492387	69263	http://www.wikidata.org/entity/Q1492387	Galleria Nazionale d'Arte Moderna e Contemporanea	41.91653
Q2255867	68535	http://www.wikidata.org/entity/Q2255867	Fort Bard	45.608168
Q3909152	68405	http://www.wikidata.org/entity/Q3909152	Porto Flavia	39.299206
Q1135392	68366	http://www.wikidata.org/entity/Q1135392	Museo Nazionale Romano	41.903426175367
Q533156	64786	http://www.wikidata.org/entity/Q533156	Villa Carlotta	45.986186
Q256790	64142	http://www.wikidata.org/entity/Q256790	Fenestrelle Fort	45.032413
Q1579923	63443	http://www.wikidata.org/entity/Q1579923	Palace of Monza	45.59361111
Q776666	62292	http://www.wikidata.org/entity/Q776666	Lighthouse of Genoa	44.40454
Q2472396	61969	http://www.wikidata.org/entity/Q2472396	Torre del Mangia	43.317997
Q1470912	61060	http://www.wikidata.org/entity/Q1470912	Museo Correr	45.433933
Q1775258	60339	http://www.wikidata.org/entity/Q1775258	Fossanova Abbey	41.43808
Q3523	60315	http://www.wikidata.org/entity/Q3523	Secret Museum	40.85337778
Q1200696	60100	http://www.wikidata.org/entity/Q1200696	Museo dell'Opera del Duomo	43.7727
Q13453137	59536	http://www.wikidata.org/entity/Q13453137	Museum of San Marco	43.7779
Q3874721	59051	http://www.wikidata.org/entity/Q3874721	Neptune	44.411
Q947082	58326	http://www.wikidata.org/entity/Q947082	"Museo della Scienza e della Tecnologia ""Leonardo da Vinci"""	45.462494
Q639179	58053	http://www.wikidata.org/entity/Q639179	Villa of Livia	42.00208
Q810128	57920	http://www.wikidata.org/entity/Q810128	Basilica of Our Lady of the Assumption, St. Hermagoras and St. Fortunatus	45.76975
Q2525507	57084	http://www.wikidata.org/entity/Q2525507	Villa Necchi Campiglio	45.468267
Q859732	56942	http://www.wikidata.org/entity/Q859732	Certosa di San Martino	40.84341
Q1736225	56915	http://www.wikidata.org/entity/Q1736225	Trieste Cathedral	45.646389
Q2972664	56543	http://www.wikidata.org/entity/Q2972664	Monte Grappa war memorial	45.870555555556
Q253241	56129	http://www.wikidata.org/entity/Q253241	Su Nuraxi di Barumini	39.7028565
Q514366	54910	http://www.wikidata.org/entity/Q514366	Abbazia di Pomposa	44.831486
Q587949	54878	http://www.wikidata.org/entity/Q587949	Castello Maniace	37.053345
Q3747208	54147	http://www.wikidata.org/entity/Q3747208	Fondazione Prada	45.444042
Q1449217	53886	http://www.wikidata.org/entity/Q1449217	Arian Baptistry	44.418713
Q3683671	53677	http://www.wikidata.org/entity/Q3683671	Sancarlone	45.77027778
Q2778991	52912	http://www.wikidata.org/entity/Q2778991	Ognissanti Church	43.77251
Q2265902	51128	http://www.wikidata.org/entity/Q2265902	Guinigi Tower	43.84371
Q2266081	50406	http://www.wikidata.org/entity/Q2266081	Galleria Nazionale d'Arte Antica	41.902779717367
Q2705493	50338	http://www.wikidata.org/entity/Q2705493	Triennale di Milano	45.471813
Q607126	49981	http://www.wikidata.org/entity/Q607126	Fénis Castle	45.736902
Q1041718	49714	http://www.wikidata.org/entity/Q1041718	Villa San Michele	40.557222222222
Q321506	49352	http://www.wikidata.org/entity/Q321506	Fossoli concentration camp	44.827922
Q474970	49082	http://www.wikidata.org/entity/Q474970	Roman amphitheatre of Santa Maria Capua Vetere	41.08518
Q907964	48919	http://www.wikidata.org/entity/Q907964	Palazzo Grassi	45.4337974
Q2165810	48918	http://www.wikidata.org/entity/Q2165810	Villa Lante	42.425186
Q684119	48873	http://www.wikidata.org/entity/Q684119	Santa Reparata, Florence	43.7727
Q222410	48297	http://www.wikidata.org/entity/Q222410	Piscina Mirabilis	40.795277777778
Q822085	47784	http://www.wikidata.org/entity/Q822085	Palazzo della Pilotta	44.804926
Q3854475	47770	http://www.wikidata.org/entity/Q3854475	Holocaust memorial in Milan, Italy	45.488175
Q680971	47535	http://www.wikidata.org/entity/Q680971	Experimental Centre of Cinematography	41.851021
Q1540920	46495	http://www.wikidata.org/entity/Q1540920	Tomb of Caecilia Metella	41.852013
Q1052171	45905	http://www.wikidata.org/entity/Q1052171	Ca' Rezzonico	45.433425
Q1111219	45817	http://www.wikidata.org/entity/Q1111219	Himera	37.659397
Q1668196	45001	http://www.wikidata.org/entity/Q1668196	Museo Galileo	43.767681
Q2066497	44599	http://www.wikidata.org/entity/Q2066497	Chiesa di San Cataldo	38.114722222222
Q3867996	44301	http://www.wikidata.org/entity/Q3867996	Museum of the Ara Pacis	41.907654
Q2931413	43504	http://www.wikidata.org/entity/Q2931413	Punta della Dogana	45.4308
Q2060988	42982	http://www.wikidata.org/entity/Q2060988	Villa Pisani	45.408305555556
Q2052044	41475	http://www.wikidata.org/entity/Q2052044	Neapolis	37.075
Q1085811	41470	http://www.wikidata.org/entity/Q1085811	Pinacoteca Ambrosiana	45.46378
Q1275123	41016	http://www.wikidata.org/entity/Q1275123	Museum of Roman Civilization	41.831521
Q1048826	40911	http://www.wikidata.org/entity/Q1048826	Castello Orsini-Odescalchi	42.104368
Q790430	40899	http://www.wikidata.org/entity/Q790430	Castello Normanno-Svevo	41.128107
Q19830	40037	http://www.wikidata.org/entity/Q19830	Castello del Valentino	45.05379
Q1255652	39964	http://www.wikidata.org/entity/Q1255652	Palazzo Abatellis	38.1165
Q4012961	39959	http://www.wikidata.org/entity/Q4012961	Villino Florio	38.11961111
Q334365	39944	http://www.wikidata.org/entity/Q334365	San Fruttuoso Abbey	44.316465173
Q261233	39886	http://www.wikidata.org/entity/Q261233	Museo del Novecento	45.463414
Q1276962	39580	http://www.wikidata.org/entity/Q1276962	Palazzo Schifanoia	44.830474
Q19851	39434	http://www.wikidata.org/entity/Q19851	Castle of Racconigi	44.76891
Q14552418	38594	http://www.wikidata.org/entity/Q14552418	Santuario della Verna	43.707268
Q1677980	38531	http://www.wikidata.org/entity/Q1677980	San Francesco, Arezzo	43.46454
Q519954	38324	http://www.wikidata.org/entity/Q519954	Sant'Anna di Stazzema	43.974166666667
Q828374	38253	http://www.wikidata.org/entity/Q828374	Villa Cimbrone	40.64444444
Q2639843	38138	http://www.wikidata.org/entity/Q2639843	Basilica of San Gaudenzio	45.44880774
Q1945976	37406	http://www.wikidata.org/entity/Q1945976	Monte d'Accoddi	40.7906971
Q72786	37325	http://www.wikidata.org/entity/Q72786	Belvedere	43.763054
Q385925	37291	http://www.wikidata.org/entity/Q385925	Neustift Abbey	46.744161
Q19521365	37142	http://www.wikidata.org/entity/Q19521365	Fiumara d'Arte	38.010001
Q20009218	36389	http://www.wikidata.org/entity/Q20009218	Labirinto della Masone	44.854002
Q736689	35996	http://www.wikidata.org/entity/Q736689	Tharros	39.8734381
Q212164	35924	http://www.wikidata.org/entity/Q212164	Franzensfeste Fortress	46.777541
Q2706867	35718	http://www.wikidata.org/entity/Q2706867	Galleria Ferrari	44.529678
Q4115652	35099	http://www.wikidata.org/entity/Q4115652	Palace of Capodimonte	40.86700556
Q19833	34675	http://www.wikidata.org/entity/Q19833	Villa della Regina	45.058037
Q682173	34572	http://www.wikidata.org/entity/Q682173	Villa Pignatelli	40.8349
Q677175	34529	http://www.wikidata.org/entity/Q677175	Nora	38.985737
Q48789692	34469	http://www.wikidata.org/entity/Q48789692	Museum Ferruccio Lamborghini	44.60789553654
Q1227391	34461	http://www.wikidata.org/entity/Q1227391	Santa Caterina del Sasso	45.877173
Q2634480	34117	http://www.wikidata.org/entity/Q2634480	Farfa Abbey	42.22166667
Q15055388	33988	http://www.wikidata.org/entity/Q15055388	National Etruscan Museum	41.918636
Q641244	33724	http://www.wikidata.org/entity/Q641244	Villa Rufolo	40.64416667
Q3663206	33691	http://www.wikidata.org/entity/Q3663206	Catacombs of San Gennaro	40.86418
Q1233293	33177	http://www.wikidata.org/entity/Q1233293	Naxos	37.823989
Q733389	33005	http://www.wikidata.org/entity/Q733389	Villa Medici	43.816448
Q3889703	32205	http://www.wikidata.org/entity/Q3889703	Palazzo Borromeo	45.8962
Q3757699	32089	http://www.wikidata.org/entity/Q3757699	Galleria Spada	41.894194444444
Q2836365	32086	http://www.wikidata.org/entity/Q2836365	Museo Nazionale dell'Automobile	45.03147
Q2738068	32067	http://www.wikidata.org/entity/Q2738068	Madonna del Ghisallo	45.924255
Q19844	31668	http://www.wikidata.org/entity/Q19844	Castle of Rivoli	45.070028
Q376571	31438	http://www.wikidata.org/entity/Q376571	Runkelstein Castle	46.517484
Q1103550	31238	http://www.wikidata.org/entity/Q1103550	Pinacoteca Nazionale di Bologna	44.497707
Q112485	31191	http://www.wikidata.org/entity/Q112485	Castel Savoia	45.764066
Q338367	31045	http://www.wikidata.org/entity/Q338367	Accademia Carrara	45.70386
Q1675176	30898	http://www.wikidata.org/entity/Q1675176	Italian Air Force Museum	42.085049
Q1190657	30410	http://www.wikidata.org/entity/Q1190657	Museo Poldi Pezzoli	45.468484
Q2518724	30129	http://www.wikidata.org/entity/Q2518724	Castelvecchio Museum	45.44
Q368346	29951	http://www.wikidata.org/entity/Q368346	Villa Medici at Careggi	43.807917
Q637237	29803	http://www.wikidata.org/entity/Q637237	National Archaeological Museum	43.776222
Q1433584	29774	http://www.wikidata.org/entity/Q1433584	Villa Manin	45.947372
Q1097330	29565	http://www.wikidata.org/entity/Q1097330	Collegiate Church of San Gimignano	43.46782
Q2669644	29551	http://www.wikidata.org/entity/Q2669644	Museum of Contemporary Art of Rome	41.912825
Q1279458	29353	http://www.wikidata.org/entity/Q1279458	Santa Maria della Scala	43.316937
Q756807	29312	http://www.wikidata.org/entity/Q756807	Ca' Pesaro	45.441
Q1094986	29204	http://www.wikidata.org/entity/Q1094986	Palazzo Altemps	41.832692
Q1755973	28918	http://www.wikidata.org/entity/Q1755973	South Tyrol Museum of Archaeology	46.499861
Q1235515	28428	http://www.wikidata.org/entity/Q1235515	Villa of the Quintilii	41.831375
Q1819804	28322	http://www.wikidata.org/entity/Q1819804	Torre dei Lamberti	45.44295
Q3757721	28280	http://www.wikidata.org/entity/Q3757721	Galleria d'arte moderna di Milano	45.4725
Q1551179	27836	http://www.wikidata.org/entity/Q1551179	Territorial Abbey of Santa Maria di Grottaferrata	41.785585
Q2047508	27723	http://www.wikidata.org/entity/Q2047508	Palazzina Cinese	38.166552
Q859735	27616	http://www.wikidata.org/entity/Q859735	Necropolis Banditaccia	41.999083
Q833129	27326	http://www.wikidata.org/entity/Q833129	Casamari Abbey	41.667736
Q3849166	27294	http://www.wikidata.org/entity/Q3849166	Museum of the Treasure of St. Gennaro	40.8522
Q3329238	27181	http://www.wikidata.org/entity/Q3329238	MUDETEC	44.65894
Q1507811	27039	http://www.wikidata.org/entity/Q1507811	Teatro Farnese	44.804694444444
Q1543539	26829	http://www.wikidata.org/entity/Q1543539	basilica di Saccargia	40.67125
Q1411575	26748	http://www.wikidata.org/entity/Q1411575	Temple of Minerva Medica	41.893293239464
Q338523	26567	http://www.wikidata.org/entity/Q338523	Accademia di San Luca	41.90166
Q1258865	26559	http://www.wikidata.org/entity/Q1258865	Villa Emo	45.711722222222
Q864639	26472	http://www.wikidata.org/entity/Q864639	bioparco	41.917472
Q2211082	26319	http://www.wikidata.org/entity/Q2211082	Sacro Monte di Varallo	45.81861111
Q1753598	26285	http://www.wikidata.org/entity/Q1753598	Fortress of San Leo	43.896233
Q1250631	26112	http://www.wikidata.org/entity/Q1250631	Villa Contarini	45.54395
Q2564175	25996	http://www.wikidata.org/entity/Q2564175	Necropolis of Monterozzi	42.25008
Q3737242	25903	http://www.wikidata.org/entity/Q3737242	Pio Monte della Misericordia	40.851871
Q4016080	25889	http://www.wikidata.org/entity/Q4016080	Volandia	45.62996
Q519204	25828	http://www.wikidata.org/entity/Q519204	National Museum of Magna Græcia	38.114716
Q1457477	25822	http://www.wikidata.org/entity/Q1457477	Megara Hyblaea	37.20388889
Q747888	25587	http://www.wikidata.org/entity/Q747888	Cattolica di Stilo	38.480194
Q2222846	25399	http://www.wikidata.org/entity/Q2222846	Pozzo sacro di Santa Cristina	40.0611421
Q3890451	25046	http://www.wikidata.org/entity/Q3890451	Palazzo Massimo alle Terme	41.901537156101
Q3603228	24850	http://www.wikidata.org/entity/Q3603228	San Giovanni in Venere Abbey	42.25488
Q1514006	24533	http://www.wikidata.org/entity/Q1514006	Royal Palace of Genoa	44.414913
Q2844406	24453	http://www.wikidata.org/entity/Q2844406	Roman amphitheatre of Catania	37.507361
Q3661281	24123	http://www.wikidata.org/entity/Q3661281	House of Cristoforo Colombo	44.40561
Q934424	23909	http://www.wikidata.org/entity/Q934424	Borgo medievale (Turin)	45.04904
Q3983174	23734	http://www.wikidata.org/entity/Q3983174	Oratorio di Santa Maria in Valle	46.093577
Q1054090	23649	http://www.wikidata.org/entity/Q1054090	Centrale Montemartini	41.86703
Q866498	23540	http://www.wikidata.org/entity/Q866498	Galleria Palatina	43.7652
Q1568583	23530	http://www.wikidata.org/entity/Q1568583	Heraclea Lucania	40.2195
Q3934723	23523	http://www.wikidata.org/entity/Q3934723	Ricetto di Candelo	45.545932
Q832707	23484	http://www.wikidata.org/entity/Q832707	Pietrarsa railway museum	40.8217
Q1426967	23436	http://www.wikidata.org/entity/Q1426967	Santa Maria della Spina	43.71524
Q2961291	23409	http://www.wikidata.org/entity/Q2961291	Certosa di Trisulti	41.7794
Q2260811	23398	http://www.wikidata.org/entity/Q2260811	Lilibaeum	37.8
Q4012768	23390	http://www.wikidata.org/entity/Q4012768	Villa San Martin	42.785531
Q1817132	23185	http://www.wikidata.org/entity/Q1817132	Palazzo Pallavicini-Rospigliosi	41.898332
Q19622375	22912	http://www.wikidata.org/entity/Q19622375	Monastery of Saint Benedict	41.9168
Q1290662	22554	http://www.wikidata.org/entity/Q1290662	Scuola di San Giorgio degli Schiavoni	45.43638889
Q1947692	22459	http://www.wikidata.org/entity/Q1947692	Morgantina	37.43083333
Q774929	22234	http://www.wikidata.org/entity/Q774929	François Tomb	42.4174
Q2034331	22186	http://www.wikidata.org/entity/Q2034331	Palazzo Rosso	44.41125
Q657629	22123	http://www.wikidata.org/entity/Q657629	Palazzo Davanzati	43.770203
Q1056344	21959	http://www.wikidata.org/entity/Q1056344	Florence Charterhouse	43.731414
Q2418618	21872	http://www.wikidata.org/entity/Q2418618	Casa Buonarroti	43.76981
Q1283479	21773	http://www.wikidata.org/entity/Q1283479	San Romedio Sanctuary	46.36885071
Q3939381	21469	http://www.wikidata.org/entity/Q3939381	Rocca Borromeo di Angera	45.774133
Q3576064	21415	http://www.wikidata.org/entity/Q3576064	Zoosafari Fasanolandia	40.8335
Q3662081	21351	http://www.wikidata.org/entity/Q3662081	Castel Beseno	45.930976
Q16335227	21116	http://www.wikidata.org/entity/Q16335227	Uffizi Gallery	43.76809
Q441542	21030	http://www.wikidata.org/entity/Q441542	Altinum	45.54638889
Q17494386	20938	http://www.wikidata.org/entity/Q17494386	Villa Monastero	46.006264
Q15057316	20675	http://www.wikidata.org/entity/Q15057316	MUSE	46.06263056
Q1787480	20461	http://www.wikidata.org/entity/Q1787480	Holy Mountain of Orta	45.797432
Q833321	20325	http://www.wikidata.org/entity/Q833321	Staffarda Abbey	44.72083333
Q3661285	20322	http://www.wikidata.org/entity/Q3661285	House of Dante	43.771
Q3944608	20215	http://www.wikidata.org/entity/Q3944608	military shrine of Asiago	45.8746
Q182708	20096	http://www.wikidata.org/entity/Q182708	Fondaco dei Turchi	45.442002
Q1062079	20027	http://www.wikidata.org/entity/Q1062079	Museum of the Risorgimento	45.068764
Q1014223	19939	http://www.wikidata.org/entity/Q1014223	Taufers Castle	46.91955
Q2245152	19896	http://www.wikidata.org/entity/Q2245152	Galleria Sabauda	45.07412
Q3768553	19864	http://www.wikidata.org/entity/Q3768553	Gipsoteca canoviana	45.85175
Q3815086	19724	http://www.wikidata.org/entity/Q3815086	Palazzo Piccolomini	43.076492
Q958758	19682	http://www.wikidata.org/entity/Q958758	Villa La Petraia	43.81829
Q3364860	19680	http://www.wikidata.org/entity/Q3364860	Parco Natura Viva	45.4786
Q752332	19242	http://www.wikidata.org/entity/Q752332	Rotonda della Besana	45.459756
Q334022	19191	http://www.wikidata.org/entity/Q334022	Marienberg Abbey	46.686398
Q3931110	19065	http://www.wikidata.org/entity/Q3931110	Royal Palace of Carditello	41.0616
Q2408412	19034	http://www.wikidata.org/entity/Q2408412	Fort of Exilles	45.099628
Q3662477	18857	http://www.wikidata.org/entity/Q3662477	Sabbionara Castle	45.746413666077
Q19843960	18785	http://www.wikidata.org/entity/Q19843960	Monastery of Saint Scholastica	41.925537
Q3354176	18784	http://www.wikidata.org/entity/Q3354176	Opificio delle pietre dure	43.776105555556
Q648870	18679	http://www.wikidata.org/entity/Q648870	Tiscali (Tiscali Village)	40.241618
Q2844410	18673	http://www.wikidata.org/entity/Q2844410	Roman amphitheatre of Lecce	40.353294
Q913148	18649	http://www.wikidata.org/entity/Q913148	Hospital of Santa Maria Nuova	43.773408333333
Q3501046	18618	http://www.wikidata.org/entity/Q3501046	Studiolo di Federico da Montefeltro	43.7247398
Q642603	18557	http://www.wikidata.org/entity/Q642603	Museum of Modern and Contemporary Art of Trento and Rovereto	45.893831
Q3517634	18154	http://www.wikidata.org/entity/Q3517634	Tempio Voltiano	45.814802
Q1533416	18079	http://www.wikidata.org/entity/Q1533416	Museo Civico di Storia Naturale di Milano	45.472777
Q2739127	18057	http://www.wikidata.org/entity/Q2739127	National Gallery of Umbria	43.1115627
Q19850	17985	http://www.wikidata.org/entity/Q19850	Castle of Moncalieri	45.002167
Q3763803	17928	http://www.wikidata.org/entity/Q3763803	La Mortella	40.75305556
Q532823	17921	http://www.wikidata.org/entity/Q532823	Cuba Palace	38.107778
Q1174435	17748	http://www.wikidata.org/entity/Q1174435	Arechi Castle	40.684511
Q3868477	17521	http://www.wikidata.org/entity/Q3868477	Museum of the Liberation of Rome	41.888521
Q2579612	17514	http://www.wikidata.org/entity/Q2579612	Palazzo delle Esposizioni	41.899444
Q19846	17390	http://www.wikidata.org/entity/Q19846	Agliè Castle	45.362294
Q1147746	17367	http://www.wikidata.org/entity/Q1147746	Issogne Castle	45.654424
Q224779	17258	http://www.wikidata.org/entity/Q224779	Castello di Arco	45.92217
Q3890381	17242	http://www.wikidata.org/entity/Q3890381	Palazzo Maffei	45.44361111
Q1594614	17120	http://www.wikidata.org/entity/Q1594614	Rocca Maggiore	43.070168
Q3983167	17063	http://www.wikidata.org/entity/Q3983167	Temple of Clitumnus	42.84224
Q631432	17047	http://www.wikidata.org/entity/Q631432	Soluntum	38.082466
Q56258655	16974	http://www.wikidata.org/entity/Q56258655	Santu Antine	40.486543
Q774128	16898	http://www.wikidata.org/entity/Q774128	Galleria Estense	44.648018
Q1808872	16830	http://www.wikidata.org/entity/Q1808872	Palazzo Bianco	44.41158333
Q975240	16746	http://www.wikidata.org/entity/Q975240	Pinacoteca Giovanni e Marella Agnelli	45.03243
Q27961084	16626	http://www.wikidata.org/entity/Q27961084	Villa Carpena	44.173371
Q772890	16619	http://www.wikidata.org/entity/Q772890	Galleria nazionale di Parma	44.804722222222
Q1787362	16561	http://www.wikidata.org/entity/Q1787362	Sacro Monte di Crea	45.09472222
Q3635554	16549	http://www.wikidata.org/entity/Q3635554	Base Tuono	45.91571
Q2969832	16513	http://www.wikidata.org/entity/Q2969832	Masino Castle	45.391926
Q1092134	16317	http://www.wikidata.org/entity/Q1092134	English Cemetery, Florence	43.777525
Q1089115	16244	http://www.wikidata.org/entity/Q1089115	Studiolo of Francesco I	43.7691
Q630563	15940	http://www.wikidata.org/entity/Q630563	Castello della Manta	44.614352
Q2525201	15482	http://www.wikidata.org/entity/Q2525201	Villa Grock	43.895313
Q3678449	15436	http://www.wikidata.org/entity/Q3678449	Città della Scienza	40.80555556
